time,lat,lon,alt,speed,direction,h_acc,v_acc,x,y,x_kf,y_kf,vx_kf,vy_kf,lon_kf,lat_kf,speed_kf,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,is_moving_sensor,dt,is_stationary_instant,stationary_duration_s,is_stationary,moving_combined,moving_smoothed,trip_change
0.1088291,23.1980317,79.9089503,,,,1500.0,0.0,8895423.657221006,2655984.854431953,8895423.657221006,2655984.854431953,0.0,0.0,79.9089503,23.1980317,0.0,-1.037287831,-0.349553436,9.640851974,0.00173105346,-0.00332894898,0.001198421582,9.702792403918565,0.003938865532234427,1,0.0,1,0.0,0,1,0,0.0
20.1188291,23.1980317,79.9089503,,,,1500.0,0.0,8895423.657221006,2655984.854431953,8895423.657221006,2655984.854431953,0.0,0.0,79.9089503,23.1980317,0.0,-1.07559514,-0.2585737705,9.722254753,0.0002663159103,0.00332894898,0.00039947388,9.784988644971095,0.0033633918677912346,1,20.009999999999998,1,20.009999999999998,1,0,1,1.0
40.1388291,23.1975509,79.907201,,,,1899.999023,0.0,8895228.926035762,2655926.6241315426,8895229.048016302,2655926.6606072797,-14.602307151682513,-4.366515466216186,79.90720209576985,23.197551201175948,15.241188650127766,-1.099537134,-0.1628057212,9.736619949,0.001331579522,-0.003062632866,0.001464737463,9.799859980793865,0.0036466806729995977,1,20.020000000000003,0,0.0,0,1,1,0.0
60.1528291,23.1980317,79.9089503,,,,1500.0,0.0,8895423.657221006,2655984.854431953,8895423.255230097,2655984.7342249537,25.766778455837322,7.705017808035881,79.90894668885423,23.198030707468263,26.89412893949816,-3.60866046,0.5793967843,9.296086311,-0.4482096732,0.9290430546,-2.422009945,9.988761267083431,2.632516872145258,1,20.013999999999996,0,0.0,0,1,1,0.0
64.91380706,23.20152692,79.91260615,413.8297299,2.119999886,40.70000076,48.61940765,57.89611053,8895830.624581423,2656408.1712730625,8895817.10563995,2656389.8059601565,86.06114240245574,89.61415711304254,79.91248470728249,23.201375284156633,124.24659909509329,-4.202422619,3.069366693,7.524377346,0.689491868,-0.4675175846,-0.6920219064,9.148640456908259,1.0829894029425393,1,4.760977959999998,0,0.0,0,1,1,0.0
65.90692315,23.20152718,79.9126116,418.0946204,1.580000043,265.2000122,47.30356598,56.20449829,8895831.231272647,2656408.202762874,8895858.91862336,2656435.601914439,74.38642008062295,78.06095761425058,79.91286031970321,23.201753404709372,107.82788413051946,3.727173567,-0.1771709323,9.798869133,-0.5174518228,1.162335753,2.04144454,10.485277708456545,2.4054680628761074,1,0.9931160900000009,0,0.0,0,1,1,0.0
66.9062756,23.20155099,79.91260221,407.3410864,0.3300000131,265.2000122,44.55447769,41.61816025,8895830.185982628,2656411.0865031458,8895879.361805225,2656460.002268498,58.369057619068826,62.12830001227799,79.91304396393046,23.201954869129228,85.24595327494319,-3.220799923,-0.962469101,8.419808388,-0.5440834165,0.3761712313,1.816673994,9.06603949941824,1.9333483803608658,1,0.9993524500000035,0,0.0,0,1,1,0.0
67.91185747,23.20155106,79.91261637,407.5517744,0.8399999738,334.6000061,43.830616,39.76612091,8895831.762266617,2656411.094981173,8895885.898711253,2656467.8227650425,42.78870726593667,45.8021678956154,79.91310268595643,23.202019439923063,62.679438841043904,2.132635117,-2.480392933,11.16835213,1.687643886,-2.021737337,-5.096887112,11.637550040451533,5.737056909099363,1,1.0055818700000003,0,0.0,0,1,1,0.0
68.90932148,23.20162711,79.91258043,401.0128554,1.080000043,93.59999847,29.44410706,32.23038101,8895827.76144412,2656420.305755204,8895881.18490412,2656469.6943024597,29.120973026567256,33.1667163854678,79.9130603411065,23.202034892473918,44.13685699965637,-6.09384203,0.4788403511,7.95533371,-0.4940160215,0.152465865,-1.813744545,10.032523770512505,1.8859922969106062,1,0.9974640100000016,0,0.0,0,1,1,0.0
69.91082086,23.20165083,79.91250156,397.0697723,0.6100000143,93.59999847,20.6107235,23.22672844,8895818.98167588,2656423.178597302,8895868.862308396,2656466.7069225046,17.621237041805685,23.131473798675145,79.9129496453457,23.20201022684777,29.078739226147675,-1.980603337,2.035071373,6.868366241,-2.725743294,1.275253773,6.66042757,7.432278243731737,7.308710153341205,1,1.0014993799999985,0,0.0,0,1,1,0.0
70.90707341,23.20160827,79.91258017,409.4248408,1.830000043,256.6000061,14.92352867,15.98977661,8895827.73250105,2656418.0239534965,8895860.608268736,2656458.2063637325,10.67417119726183,14.64042189770382,79.91287549804588,23.20194004103869,18.118495635433412,-1.401206493,6.038176537,3.301005602,1.087900519,0.1716406047,1.340501189,7.022791005892034,1.7349154083506966,1,0.9962525499999941,0,0.0,0,1,1,0.0
71.92915377,23.20160331,79.91257343,406.9584122,0.0,,6.419700623,6.629016399,8895826.982207684,2656417.423224438,8895852.27129245,2656449.078261005,5.583501015111454,8.268291302168105,79.91280060571367,23.201864673802113,9.976979735534165,1.974617839,-5.506663799,9.832387924,0.5275717974,-0.1149153188,-2.686195374,11.441080110432546,2.7399239258062935,1,1.022080360000004,0,0.0,0,1,1,0.0
72.9696208,23.20159718,79.91255948,406.0328797,0.0,,5.745634079,5.896642685,8895825.429300785,2656416.6807911764,8895844.086068274,2656440.1080601905,1.909812455971859,3.655247257968493,79.91272707659385,23.201790610259554,4.124101857843893,-7.506421089,5.042188644,5.719149113,-0.0657800287,-1.071522117,-0.2286322117,10.699471503947995,1.0976153003774902,1,1.040467030000002,0,0.0,0,1,1,0.0
