time,lat_raw,lon_raw,lat_smoothed,lon_smoothed
0.1088291,23.1980317,79.9089503,23.1980317,79.9089503
20.1188291,23.1980317,79.9089503,23.1980317,79.9089503
40.1388291,23.1975509,79.907201,23.197633462105827,79.90750138663003
60.1528291,23.1980317,79.9089503,23.197842470191294,79.90826182307742
64.91380706,23.20152692,79.91260615,23.2000717077874,79.91084736735397
65.90692315,23.20152718,79.9126116,23.201200003931397,79.91216423061111
66.9062756,23.20155099,79.91260221,23.201803370883198,79.91285491380873
67.91185747,23.20155106,79.91261637,23.20210472180838,79.91320936586274
68.90932148,23.20162711,79.91258043,23.2022571114908,79.91333759253389
69.91082086,23.20165083,79.91250156,23.20229448877018,79.91330473625516
70.90707341,23.20160827,79.91258017,23.202233795729416,79.91324022990736
71.92915377,23.20160331,79.91257343,23.202132498867627,79.91313243286191
72.9696208,23.20159718,79.91255948,23.202015944186382,79.91300567602279
73.96888138,23.20161603,79.91261819,23.20191229430197,79.91291017727966
74.96960851,23.20161111,79.91260135,23.201818849974025,79.91281681318988
75.96886596,23.20161213,79.91259911,23.201743250187008,79.91273904523709
76.96957934,23.20160223,79.91257103,23.201681494352627,79.9126673709224
77.96867643,23.20160362,79.91257452,23.20163806513053,79.91261729774362
78.96875044,23.20160197,79.91256828,23.201608692593116,79.91258126012823
79.96867908,23.20160197,79.91256828,23.201591078315744,79.9125591413846
80.96872528,23.20159971,79.91255824,23.20158115523707,79.91254313425269
81.96937361,23.20159584,79.91254722,23.20157579363182,79.91253086585094
82.96886507,23.20159465,79.91254338,23.20157435423617,79.91252393201802
83.96926523,23.20159279,79.91253452,23.201574913038012,79.91251826586827
84.9689483,23.20159637,79.91254256,23.201578672775128,79.91252016567941
85.96960143,23.20159559,79.91253855,23.201582402229352,79.91252195700704
86.96933674,23.20159481,79.91253243,23.20158563058169,79.91252216733535
87.96895392,23.20159397,79.91252128,23.201588115270862,79.91251865248316
88.96902502,23.20159269,79.9125245,23.201589628678622,79.9125182805058
89.96868163,23.20159114,79.91252327,23.201590169085925,79.91251821115617
90.96895361,23.20159114,79.91252327,23.201590584066043,79.91251871389633
