"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.708745910E-1,-9.127894044E-1,-3.399766386E-1,9.765350342E0
1.728810490E-1,-9.319429994E-1,-3.064578176E-1,9.731831551E0
1.748882890E-1,-8.888474107E-1,-2.920926213E-1,9.750985146E0
1.768962050E-1,-9.223662019E-1,-3.064578176E-1,9.794080734E0
1.789046430E-1,-9.223662019E-1,-2.873041928E-1,9.794080734E0
1.809134970E-1,-9.127894044E-1,-3.256114423E-1,9.741408348E0
1.829226110E-1,-9.367313981E-1,-3.016694188E-1,9.717466354E0
1.849318300E-1,-9.654618502E-1,-2.968810201E-1,9.755773544E0
1.869404760E-1,-9.510966539E-1,-3.208230138E-1,9.774927139E0
1.889460490E-1,-9.463081956E-1,-2.920926213E-1,9.774927139E0
1.909515700E-1,-9.463081956E-1,-3.351882398E-1,9.774927139E0
1.929543820E-1,-9.510966539E-1,-3.495534360E-1,9.765350342E0
1.949574030E-1,-9.510966539E-1,-3.208230138E-1,9.731831551E0
1.969607360E-1,-9.702502489E-1,-3.543418646E-1,9.760561943E0
1.989644340E-1,-9.702502489E-1,-3.303998411E-1,9.741408348E0
2.009685490E-1,-9.415197968E-1,-3.351882398E-1,9.712677956E0
2.029731320E-1,-9.750386477E-1,-3.495534360E-1,9.693524361E0
2.049781840E-1,-9.846154451E-1,-3.543418646E-1,9.703101158E0
2.069837050E-1,-9.750386477E-1,-3.495534360E-1,9.712677956E0
2.089896950E-1,-9.941922426E-1,-3.591302633E-1,9.722254753E0
2.109961010E-1,-9.846154451E-1,-3.639186621E-1,9.741408348E0
2.130028720E-1,-1.003769040E0,-3.878606856E-1,9.727043152E0
2.150099550E-1,-9.989806414E-1,-3.878606856E-1,9.703101158E0
2.170172990E-1,-9.798270464E-1,-3.878606856E-1,9.683947563E0
2.190247990E-1,-1.003769040E0,-4.022258818E-1,9.679159164E0
2.210323510E-1,-9.941922426E-1,-3.974374831E-1,9.683947563E0
2.230453200E-1,-1.037287831E0,-4.118026793E-1,9.669582367E0
2.250458410E-1,-9.798270464E-1,-3.734954596E-1,9.712677956E0
2.270465180E-1,-1.013345838E0,-3.974374831E-1,9.712677956E0
2.290475590E-1,-1.022922635E0,-3.974374831E-1,9.750985146E0
2.310491220E-1,-1.003769040E0,-3.878606856E-1,9.731831551E0
2.330513610E-1,-1.018134236E0,-4.165911078E-1,9.698312759E0
2.350543820E-1,-1.032499433E0,-3.926490843E-1,9.679159164E0
2.370582360E-1,-1.018134236E0,-3.878606856E-1,9.703101158E0
2.390629760E-1,-1.022922635E0,-4.022258818E-1,9.698312759E0
2.410686010E-1,-9.941922426E-1,-3.591302633E-1,9.698312759E0
2.430750590E-1,-1.003769040E0,-3.926490843E-1,9.683947563E0
2.450822990E-1,-1.008557439E0,-3.591302633E-1,9.698312759E0
2.470902160E-1,-1.008557439E0,-3.543418646E-1,9.727043152E0
2.490986530E-1,-9.941922426E-1,-3.687070608E-1,9.731831551E0
2.511075070E-1,-9.941922426E-1,-3.399766386E-1,9.736619949E0
2.531166220E-1,-1.003769040E0,-3.591302633E-1,9.698312759E0
2.551258410E-1,-9.894038439E-1,-3.351882398E-1,9.707889557E0
2.571344860E-1,-1.003769040E0,-3.399766386E-1,9.717466354E0
2.591400590E-1,-1.013345838E0,-3.303998411E-1,9.736619949E0
2.611456320E-1,-9.846154451E-1,-3.303998411E-1,9.741408348E0
2.631511530E-1,-9.846154451E-1,-3.256114423E-1,9.736619949E0
2.651539660E-1,-9.798270464E-1,-3.112462163E-1,9.731831551E0
2.671569860E-1,-9.989806414E-1,-3.160346150E-1,9.731831551E0
2.691602680E-1,-9.798270464E-1,-3.016694188E-1,9.731831551E0
2.711639140E-1,-9.750386477E-1,-3.303998411E-1,9.736619949E0
2.731679760E-1,-9.702502489E-1,-3.112462163E-1,9.727043152E0
2.751725070E-1,-9.750386477E-1,-3.303998411E-1,9.722254753E0
2.771775070E-1,-9.415197968E-1,-3.303998411E-1,9.750985146E0
